Brand,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
Lenovo,i7 13th Gen 1355U,Intel Iris Xe Graphics,16 GB,16 Inches,1920x1200,1 TB,Windows 11 Home ,,
Acer,i7 13th Gen 1355U,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920x1080,512 GB,Windows 11 Home,,
MSI,AMD Ryzen 5 7530U,AMD Radeon Graphics,16 GB,14 Inches,1920x1080,512 GB,Windows 11 Home,,
MSI,I7 12th Gen 1280P,Intel Iris Xe Graphics,16 GB ,13.4 Inches,1920x1200,1 TB,Windows 11 Home,,
Acer,Intel Celeron N4500,Intel UHD Graphics,4 GB,14 Inches,1366x768,128 GB,ChromeOS,,
Acer,Intel Celeron N4500,Intel UHD Graphics,4 GB,14 Inches,1920x1080,128 GB,ChromeOS,,
MSI,Intel Core i9 13th Gen 13950HX,NVIDIA RTX 2000 ADA,32 GB,16 Inches,2560x1600,1 TB,Windows 11 Pro,,
MSI,AMD Ryzen 7 7730U,AMD Radeon Graphics,16 GB,14 Inches,1920x1080,512 GB,Windows 11 Home,,
Acer,Intel Core i5 12th Gen 1235U,Intel Iris Xe Graphics,8 GB,15.6 Inches,1920x1080,512 GB,Windows 11 Home,,
LG,Intel Core i7 12th Gen 1260P,Intel Iris Xe Graphics,16 GB,16 Inches,2560x1600,1 TB,Windows 11 Pro,,
Lenovo,AMD Ryzen 5 Series 5500U,AMD Radeon Graphics,8 GB,15.6 Inches,1920x1080,512 GB,Windows 11 Home,,
Acer,Intel Core i5 11th Gen 1135G7,Intel Iris Xe Graphics,8 GB,14 Inches,1920x1080,128 GB,ChromeOS,,
HP,Intel Core i5 12th Gen 1235U,Intel Iris Xe Graphics,8 GB ,14 Inches,1366x768,256 GB,Windows 11 Home,,
Lenovo,AMD Ryzen 5 7000 Series 7530U,AMD Radeon Graphics,16 GB,16 Inches,1920x1200,512 GB,Windows 11 Home,,
MSI,Intel Core i9 13th Gen 13950HX,NVIDIA RTX 3000 ADA,32 GB,17 Inches,2560x1600,1 TB,Windows 11 Pro,,
MSI,Intel Core i5 13th Gen 13420H,Intel Iris Xe Graphics,32 GB,15.6 Inches,1920x1080,1 TB,Windows 11 Home,,
MSI,Intel Core i3 12th Gen 1215U,Intel UHD Graphics,8 GB,15.6 Inches,1920x1080,512 GB,Windows 11 Home,,
ASUS,Intel Core i9 13900H,,16 GB,16 Inches,1920x1200,1 TB,Windows 11 Home,,
MSI,Intel Core i5 11th Gen 1135G7,Intel Iris Xe Graphics,16 GB,14 Inches,1920x1080,512 GB,Windows 11 Home,,
MSI,Intel Core i7 13th Gen 1360P,Intel Iris Xe Graphics,32 GB,16 Inches,2560x1600,1 TB,Windows 11 Pro,,
Lenovo,Intel Core i3 13th Gen 1315U,Intel UHD Graphics,8 GB, 15.6 Inches,1920x1080,256 GB,Windows 11 in S,,
Lenovo,Intel Core i3 11th Gen 1115G4,Intel UHD Graphics,4 GB,15.6 Inches,1920x1080,128 GB,Windows 11 in S,,
MSI,Intel Core i7 13th Gen 13620H,NVIDIA Geforce RTX 4050,64 GB,16 Inches,2560x1600,2 TB,Windows 11 Home,,
MSI ,Intel Core I7 13th Gen 1360P,NVIDIA RTX 4050,32 GB,16 Inches,2560x1600,1 TB,Windows 11 Pro,,
Microsoft,Intel Core i7 12th Gen 1255U,Intel Iris Xe Graphics,16 GB,13 Inches,2880x1920,512 GB,Windows 11 Home,,
MSI,Intel Core i7 13th Gen 1360P,Intel Iris Xe Graphics,32 GB,14 Inches,2880x1800,1 TB,Windows 11 Pro,,
MSI,Intel Core i7 13th Gen 1360P,Intel Iris Xe Graphics,32 GB,13.4 Inches,1920x1080,1 TB,Windows 11 Pro,,
MSI,Intel Core i7 1260P,Intel Iris Xe Graphics,16 GB,14 Inches,2880x1800,1 TB,Windows 11 Pro,,
MSI,Intel Core i7 11th Gen 11800H,NVIDIA RTX 3060 ,16 GB,16 Inches,2560x1600,512 GB,Windows 10 Pro,,
MSI,Intel Core i7 11th Gen 1195G7,Intel Iris Xe Graphics,8 GB,14 Inches,1920x1080,512 GB,Windows 11 Prro,,
Acer,Intel Core I5 13th Gen 1335U,Intel Iris Xe Graphics,16 GB,15.6 Inches,1920x1080,512 GB,Windows 11 Home,,
